商品名,価格
袋帯 本仕立て（芯別）,2970
袋帯 芯取り替え（芯別）,4785
九寸名古屋帯 本仕立て（芯別）,4125
九寸名古屋帯 平仕立,8415
九寸名古屋帯 芯取り替え（芯別）,6765
八寸名古屋帯 松葉仕立て,2475
八寸名古屋帯 総かがり,3300
半幅帯 角帯,5610
作り帯（切らないタイプ）,6270
作り帯（切るタイプ）,5775
シワ・折りくせたたみ直し,1650
前処理,価格
なし,0
湯のし,1000
筋消し,3000
付属品,価格
帯芯・綿（薄手タイプ）,990
帯芯・綿（厚手タイプ）,1320
